controller,controller_type,approval_rate_mean,approval_rate_ci_lower,approval_rate_ci_upper,default_rate_mean,default_rate_ci_lower,default_rate_ci_upper,expected_profit_mean,expected_profit_ci_lower,expected_profit_ci_upper,npv_mean,npv_ci_lower,npv_ci_upper,cumulative_reward_mean,cumulative_reward_ci_lower,cumulative_reward_ci_upper,capital_usage_mean_mean,capital_usage_mean_ci_lower,capital_usage_mean_ci_upper,reward_volatility_mean,reward_volatility_ci_lower,reward_volatility_ci_upper,stability_index_mean,stability_index_ci_lower,stability_index_ci_upper,threshold_volatility_mean,threshold_volatility_ci_lower,threshold_volatility_ci_upper,expected_profit_seed_std,cumulative_reward_seed_std
constraint_aware_weekly,baseline,0.36266182770240096,0.34635872243601346,0.3764364346903469,0.11660359501331374,0.11461305188025775,0.11869130631272831,75571.84310747772,65193.306084021955,82886.77753412128,73460.27076691606,63242.03415111269,80615.24432253746,88000.74875453132,74978.09437498283,97412.25827568314,0.39911267425600655,0.3881216698503096,0.4089410948271089,10838.099977357762,10084.57105119165,11567.605634937252,0.00010101699837103052,9.349118318161516e-05,0.00010810002206396777,9.599883408965619,9.362462383696162,9.900978450441293,39561.4338070216,50693.2079305906
double_dqn,agent,0.35366186333415794,0.33456501599606553,0.3751118821117613,0.12232797233967754,0.1194221317874102,0.12563121530380839,59221.9795094447,48166.821310920626,67454.30216311791,57341.9304079187,46462.063782798294,65435.61207462411,66915.53544981671,52829.721130887156,77317.53823027902,0.38963536665966336,0.36954912104754617,0.4123679140060148,10403.861562087077,9639.13491707678,11272.527376254435,0.00010832602012086024,9.795078079811422e-05,0.0001176065724323266,0.0,0.0,0.0,46708.36414299296,59019.364592326405
dqn,agent,0.4159499425810433,0.39608115708967245,0.4345387670388583,0.12327167731420803,0.1194356370582452,0.12767658256654107,59197.469988127355,43790.541674653956,69219.79916907499,57144.609356943845,41900.87798517888,67060.12903120133,67308.35923531056,47636.53944878868,80232.37780106821,0.4454344785152128,0.42852937579105016,0.4628118734983821,11734.706468600069,10983.96065065529,12556.055586461145,9.354449592763644e-05,8.696754135286428e-05,9.911439680242885e-05,0.0,0.0,0.0,57431.66576598221,72567.56957884687
ppo,agent,0.5713094989953156,0.5677254041010235,0.5743360633241744,0.1537383039848771,0.15059334220335882,0.157195776442021,12196.736031047372,-7705.250089760476,29497.83599005335,10632.972022466018,-9041.329783689445,27699.609788605878,4958.58955307115,-20464.761443448657,26463.441555414196,0.5583981069426892,0.5519880056640214,0.5652118745537591,14026.50473117992,13042.673453888323,15349.020565153434,7.94452002234482e-05,7.239161271996411e-05,8.441857033728776e-05,0.0,0.0,0.0,81057.42837087541,101109.3798210344
profit_oriented,baseline,0.3644317654514798,0.3463662103750851,0.3806774033244341,0.11692633844534378,0.11515143359830196,0.11917710913886917,76022.08495534318,66580.98489995715,83740.44134921474,73897.2491225658,64628.432489376675,81449.9774262886,88080.59504839373,75954.16895119665,97969.42762836977,0.4006834938875654,0.3883022277689236,0.4116671441067106,10868.091929892224,10151.796462784316,11609.244681345275,0.00010110252810391392,9.377691997956588e-05,0.00010850312905835136,9.834264467857846,9.553573703997545,10.140108680620296,38349.498204134004,49210.41490679236
risk_aware_weekly,baseline,0.45599248307048573,0.4466907288294517,0.46549358928344037,0.13130170411800038,0.1287227299646575,0.13446656734096782,57634.884044538805,41930.08400825613,69577.9974323629,55493.40767009174,40015.586661937996,67247.94362900146,61765.69797008407,41772.19025974139,76955.52508370556,0.48961903915690663,0.47989181398348174,0.49839044251161574,13052.365509533834,12454.861912143235,13643.445509045625,7.992555948046869e-05,7.637697927353963e-05,8.350357016324335e-05,2.0317076643090997,1.933265852638653,2.135965396788037,60667.47586513691,76312.01218445438
sac,agent,0.5960556372722741,0.5745931125336734,0.6188515930649896,0.16743169120878018,0.16274211003216105,0.17225907525069284,-36379.86859231136,-60860.8330141188,-14264.226334273362,-37207.1933250924,-61334.286874365556,-15485.93242171694,-57961.65379619368,-89271.84145431672,-30423.2659708778,0.5726234598282325,0.5554881748933574,0.5918808092921024,15172.576509356973,13608.34714138974,17087.18845957297,7.982082430034004e-05,7.28120648292859e-05,8.512525984227971e-05,3.0131838569249214,2.8402799232829388,3.212861361026524,105306.68380106769,132648.19427679968
split_policy_static,baseline,0.6261782564935512,0.6226282427495271,0.62919534468191,0.1529777987697289,0.14992378215219707,0.15687949746753707,7905.420696454957,-16375.44687240502,24935.570173385193,6285.801252041243,-17668.363622060715,23042.25268831749,-4065.281165495355,-34656.151521283784,17376.037932065552,0.6106746205744051,0.6039369438765038,0.6180916713015908,15215.012626452733,14057.076027609899,16408.905613416333,7.20775506382424e-05,6.733111353864308e-05,7.685246869046959e-05,0.0,0.0,0.0,94885.73314237555,118733.25274311377
static_threshold,baseline,0.700213979580353,0.6962352636102113,0.7049335277327752,0.16527882812692837,0.16241184530539657,0.1695124974710411,-37264.68141359301,-64752.80343753441,-19326.268400436256,-38307.216152978384,-65416.711680393455,-20602.81015853152,-65029.48306289119,-99409.64307337014,-42334.11046960702,0.6661284410543428,0.6606398122749942,0.6732965278516134,15821.091308894778,14307.928975358624,17450.145255877425,7.300188529273609e-05,6.668767873666924e-05,7.822939639867914e-05,0.0,0.0,0.0,108560.89752512552,135792.4869929677
